framenum,source,blockw,blockh,srcx,srcy,dstx,dsty,flags
2,-1,16,16,   8,   8,   8,   8,0x0
2, 1,16,16,   8,   8,   8,   8,0x0
2, 1,16,16,  24,   8,  24,   8,0x0
2, 1,16,16,  40,   8,  40,   8,0x0
2, 1,16,16,  56,   8,  56,   8,0x0
2, 1,16,16,  72,   8,  72,   8,0x0
2, 1,16,16,  88,   8,  88,   8,0x0
2, 1,16,16, 104,   8, 104,   8,0x0
2, 1,16,16, 120,   8, 120,   8,0x0
2, 1,16,16, 136,   8, 136,   8,0x0
2, 1,16,16, 152,   8, 152,   8,0x0
2, 1,16,16, 168,   8, 168,   8,0x0
2, 1,16,16, 184,   8, 184,   8,0x0
2, 1,16,16, 200,   8, 200,   8,0x0
2, 1,16,16, 216,   8, 216,   8,0x0
2, 1,16,16, 232,   8, 232,   8,0x0
2, 1,16,16, 248,   8, 248,   8,0x0
2, 1,16,16, 264,   8, 264,   8,0x0
2, 1,16,16, 280,   8, 280,   8,0x0
2, 1,16,16, 296,   8, 296,   8,0x0
2, 1,16,16, 312,   8, 312,   8,0x0
2, 1,16,16, 328,   8, 328,   8,0x0
2, 1,16,16, 344,   8, 344,   8,0x0
2, 1,16,16, 360,   8, 360,   8,0x0
2, 1,16,16, 376,   8, 376,   8,0x0
2, 1,16,16, 392,   8, 392,   8,0x0
2, 1,16,16, 408,   8, 408,   8,0x0
2, 1,16,16, 424,   8, 424,   8,0x0
2, 1,16,16, 440,   8, 440,   8,0x0
2, 1,16,16, 456,   8, 456,   8,0x0
2, 1,16,16, 472,   8, 472,   8,0x0
2, 1,16,16,   8,  24,   8,  24,0x0
2, 1,16,16,  24,  24,  24,  24,0x0
2, 1,16,16,  40,  24,  40,  24,0x0
2, 1,16,16,  56,  24,  56,  24,0x0
2, 1,16,16,  72,  24,  72,  24,0x0
2, 1,16,16,  88,  24,  88,  24,0x0
2, 1,16,16, 104,  24, 104,  24,0x0
2, 1,16,16, 120,  24, 120,  24,0x0
2, 1,16,16, 136,  24, 136,  24,0x0
2, 1,16,16, 152,  24, 152,  24,0x0
2, 1,16,16, 168,  24, 168,  24,0x0
2, 1,16,16, 184,  24, 184,  24,0x0
2, 1,16,16, 200,  24, 200,  24,0x0
2, 1,16,16, 216,  24, 216,  24,0x0
2, 1,16,16, 232,  24, 232,  24,0x0
2, 1,16,16, 248,  24, 248,  24,0x0
2, 1,16,16, 264,  24, 264,  24,0x0
2, 1,16,16, 280,  24, 280,  24,0x0
2, 1,16,16, 296,  24, 296,  24,0x0
2, 1,16,16, 312,  24, 312,  24,0x0
2, 1,16,16, 328,  24, 328,  24,0x0
2, 1,16,16, 344,  24, 344,  24,0x0
2, 1,16,16, 360,  24, 360,  24,0x0
2, 1,16,16, 376,  24, 376,  24,0x0
2, 1,16,16, 392,  24, 392,  24,0x0
2, 1,16,16, 408,  24, 408,  24,0x0
2, 1,16,16, 424,  24, 424,  24,0x0
2, 1,16,16, 440,  24, 440,  24,0x0
2, 1,16,16, 456,  24, 456,  24,0x0
2, 1,16,16, 472,  24, 472,  24,0x0
2, 1,16,16,   8,  40,   8,  40,0x0
2, 1,16,16,  24,  40,  24,  40,0x0
2, 1,16,16,  40,  40,  40,  40,0x0
2, 1,16,16,  56,  40,  56,  40,0x0
2, 1,16,16,  72,  40,  72,  40,0x0
2, 1,16,16,  88,  40,  88,  40,0x0
2, 1,16,16, 104,  40, 104,  40,0x0
2, 1,16,16, 120,  40, 120,  40,0x0
2, 1,16,16, 136,  40, 136,  40,0x0
2, 1,16,16, 152,  40, 152,  40,0x0
2, 1,16,16, 168,  40, 168,  40,0x0
2, 1,16,16, 184,  40, 184,  40,0x0
2, 1,16,16, 200,  40, 200,  40,0x0
2, 1,16,16, 216,  40, 216,  40,0x0
2, 1,16,16, 232,  40, 232,  40,0x0
2, 1,16,16, 248,  40, 248,  40,0x0
2, 1,16,16, 264,  40, 264,  40,0x0
2, 1,16,16, 280,  40, 280,  40,0x0
2, 1,16,16, 296,  40, 296,  40,0x0
2, 1,16,16, 312,  40, 312,  40,0x0
2, 1,16,16, 328,  40, 328,  40,0x0
2, 1,16,16, 344,  40, 344,  40,0x0
2, 1,16,16, 360,  40, 360,  40,0x0
2, 1,16,16, 376,  40, 376,  40,0x0
2, 1,16,16, 392,  40, 392,  40,0x0
2, 1,16,16, 408,  40, 408,  40,0x0
2, 1,16,16, 424,  40, 424,  40,0x0
2, 1,16,16, 440,  40, 440,  40,0x0
2, 1,16,16, 456,  40, 456,  40,0x0
2, 1,16,16, 472,  40, 472,  40,0x0
2, 1,16,16,   8,  56,   8,  56,0x0
2, 1,16,16,  24,  56,  24,  56,0x0
2, 1,16,16,  40,  56,  40,  56,0x0
2, 1,16,16,  56,  56,  56,  56,0x0
2, 1,16,16,  72,  56,  72,  56,0x0
2, 1,16,16,  88,  56,  88,  56,0x0
2, 1,16,16, 104,  56, 104,  56,0x0
2, 1,16,16, 120,  56, 120,  56,0x0
2, 1,16,16, 136,  56, 136,  56,0x0
2, 1,16,16, 152,  56, 152,  56,0x0
2, 1,16,16, 168,  56, 168,  56,0x0
2, 1,16,16, 184,  56, 184,  56,0x0
2, 1,16,16, 200,  56, 200,  56,0x0
2, 1,16,16, 216,  56, 216,  56,0x0
2, 1,16,16, 232,  56, 232,  56,0x0
2, 1,16,16, 248,  56, 248,  56,0x0
2, 1,16,16, 264,  56, 264,  56,0x0
2, 1,16,16, 280,  56, 280,  56,0x0
2, 1,16,16, 296,  56, 296,  56,0x0
2, 1,16,16, 312,  56, 312,  56,0x0
2, 1,16,16, 328,  56, 328,  56,0x0
2, 1,16,16, 344,  56, 344,  56,0x0
2, 1,16,16, 360,  56, 360,  56,0x0
2, 1,16,16, 376,  56, 376,  56,0x0
2, 1,16,16, 392,  56, 392,  56,0x0
2, 1,16,16, 408,  56, 408,  56,0x0
2, 1,16,16, 424,  56, 424,  56,0x0
2, 1,16,16, 440,  56, 440,  56,0x0
2, 1,16,16, 456,  56, 456,  56,0x0
2, 1,16,16, 472,  56, 472,  56,0x0
2, 1,16,16,   8,  72,   8,  72,0x0
2, 1,16,16,  24,  72,  24,  72,0x0
2, 1,16,16,  40,  72,  40,  72,0x0
2, 1,16,16,  56,  72,  56,  72,0x0
2, 1,16,16,  72,  72,  72,  72,0x0
2, 1,16,16,  88,  72,  88,  72,0x0
2, 1,16,16, 104,  72, 104,  72,0x0
2, 1,16,16, 120,  72, 120,  72,0x0
2, 1,16,16, 136,  72, 136,  72,0x0
2, 1,16,16, 152,  72, 152,  72,0x0
2, 1,16,16, 168,  72, 168,  72,0x0
2, 1,16,16, 184,  72, 184,  72,0x0
2, 1,16,16, 200,  72, 200,  72,0x0
2, 1,16,16, 216,  72, 216,  72,0x0
2, 1,16,16, 232,  72, 232,  72,0x0
2, 1,16,16, 248,  72, 248,  72,0x0
2, 1,16,16, 264,  72, 264,  72,0x0
2, 1,16,16, 280,  72, 280,  72,0x0
2, 1,16,16, 296,  72, 296,  72,0x0
2, 1,16,16, 312,  72, 312,  72,0x0
2, 1,16,16, 328,  72, 328,  72,0x0
2, 1,16,16, 344,  72, 344,  72,0x0
2, 1,16,16, 360,  72, 360,  72,0x0
2, 1,16,16, 376,  72, 376,  72,0x0
2, 1,16,16, 392,  72, 392,  72,0x0
2, 1,16,16, 408,  72, 408,  72,0x0
2, 1,16,16, 424,  72, 424,  72,0x0
2, 1,16,16, 440,  72, 440,  72,0x0
2, 1,16,16, 456,  72, 456,  72,0x0
2, 1,16,16, 472,  72, 472,  72,0x0
2, 1,16,16,   8,  88,   8,  88,0x0
2, 1,16,16,  24,  88,  24,  88,0x0
2, 1,16,16,  40,  88,  40,  88,0x0
2, 1,16,16,  56,  88,  56,  88,0x0
2, 1,16,16,  72,  88,  72,  88,0x0
2, 1,16,16,  88,  88,  88,  88,0x0
2, 1,16,16, 104,  88, 104,  88,0x0
2, 1,16,16, 120,  88, 120,  88,0x0
2, 1,16,16, 136,  88, 136,  88,0x0
2, 1,16,16, 152,  88, 152,  88,0x0
2, 1,16,16, 168,  88, 168,  88,0x0
2, 1,16,16, 184,  88, 184,  88,0x0
2, 1,16,16, 200,  88, 200,  88,0x0
2, 1,16,16, 216,  88, 216,  88,0x0
2, 1,16,16, 232,  88, 232,  88,0x0
2, 1,16,16, 248,  88, 248,  88,0x0
2, 1,16,16, 264,  88, 264,  88,0x0
2, 1,16,16, 280,  88, 280,  88,0x0
2, 1,16,16, 296,  88, 296,  88,0x0
2, 1,16,16, 312,  88, 312,  88,0x0
2, 1,16,16, 328,  88, 328,  88,0x0
2, 1,16,16, 344,  88, 344,  88,0x0
2, 1,16,16, 360,  88, 360,  88,0x0
2, 1,16,16, 376,  88, 376,  88,0x0
2, 1,16,16, 392,  88, 392,  88,0x0
2, 1,16,16, 408,  88, 408,  88,0x0
2, 1,16,16, 424,  88, 424,  88,0x0
2, 1,16,16, 440,  88, 440,  88,0x0
2, 1,16,16, 456,  88, 456,  88,0x0
2, 1,16,16, 472,  88, 472,  88,0x0
2, 1,16,16,   8, 104,   8, 104,0x0
2, 1,16,16,  24, 104,  24, 104,0x0
2, 1,16,16,  40, 104,  40, 104,0x0
2, 1,16,16,  56, 104,  56, 104,0x0
2, 1,16,16,  72, 104,  72, 104,0x0
2, 1,16,16,  88, 104,  88, 104,0x0
2, 1,16,16, 104, 104, 104, 104,0x0
2, 1,16,16, 120, 104, 120, 104,0x0
2, 1,16,16, 136, 104, 136, 104,0x0
2, 1,16,16, 152, 104, 152, 104,0x0
2, 1,16,16, 168, 104, 168, 104,0x0
2, 1,16,16, 184, 104, 184, 104,0x0
2, 1,16,16, 200, 104, 200, 104,0x0
2, 1,16,16, 216, 104, 216, 104,0x0
2, 1,16,16, 232, 104, 232, 104,0x0
2, 1,16,16, 248, 104, 248, 104,0x0
2, 1,16,16, 264, 104, 264, 104,0x0
2, 1,16,16, 280, 104, 280, 104,0x0
2, 1,16,16, 296, 104, 296, 104,0x0
